show_id,type,title,director,cast,country,release_year,rating,duration,listed_in,imdb_rating
80092404,Movie,Hot Bot,Michael Polish,"Cynthia Kirchner, Doug Haley, Zack Pearlman, Larry Miller, Danny Masterson, Anthony Anderson, David Shackelford, Donald Faison, Angela Kinsey, Kirby Bliss Blanton, John Robinson",United States,2016,NR,93 min,Comedies,3.4
80092850,Movie,It's Now or Never,Maria Ripoll,"Dani Rovira, María Valverde, Jordi Sánchez, Joaquín Núñez, Alicia Rubio, Clara Lago, Anna Gras, Gracia Olayo, Melody, Marta Pérez",Spain,2015,NR,91 min,"Comedies, International Movies, Romantic Movies",5.2
80093127,Movie,Retribution,Dani de la Torre,"Luis Tosar, Javier Gutiérrez, Elvira Mínguez, Fernando Cayo, Goya Toledo, Paula del Río, Marco Sanz, Antonio Mourelos, Ricardo de Barreiro",Spain,2015,NR,100 min,"International Movies, Thrillers",7.0
80103734,Movie,Shimmer Lake,Oren Uziel,"Benjamin Walker, Rainn Wilson, Rob Corddry, Adam Pally, Ron Livingston, John Michael Higgins, Wyatt Russell, Stephanie Sigman, Mark Rendall, Isabel Dove, Angela Vint","Canada, United States",2017,TV-MA,87 min,"Dramas, Independent Movies, Thrillers",6.2
81061410,Movie,Beneath the Leaves,Adam Marino,"Mira Sorvino, Kristoffer Polaha, Doug Jones, Paul Sorvino, Aaron Farb, Ser'Darius Blain, Christopher Backus, Christopher Masterson, Tommy Kijas, Kee Seymore, Marla Adams",United States,2019,TV-MA,90 min,"Independent Movies, Thrillers",4.5
60024935,Movie,Equilibrium,Kurt Wimmer,"Christian Bale, Emily Watson, Taye Diggs, Angus Macfadyen, Sean Bean, Sean Pertwee, Matthew Harbour, William Fichtner",United States,2002,R,107 min,"Action & Adventure, Dramas, Sci-Fi & Fantasy",7.4
80168189,Movie,Alex Strangelove,Craig Johnson,"Daniel Doheny, Madeline Weinstein, Antonio Marziale, Daniel Zolghadri, Annie Q., Nik Dodani, Fred Hechinger, Kathryn Erbe, Isabella Amara, Sophie Faulkenberry",United States,2018,TV-MA,100 min,"Comedies, Dramas, Independent Movies",6.3
80244709,Movie,Ali's Wedding,Jeffrey Walker,"Osamah Sami, Don Hany, Helana Sawires, Frances Duca, Majid Shokor, Rodney Afif, Ghazi Alkinani, Ryan Corr",Australia,2018,TV-MA,110 min,"Comedies, Independent Movies, International Movies",6.9
80194946,Movie,Franco Escamilla: Por la anécdota,Ulises Valencia,Franco Escamilla,Mexico,2018,TV-MA,66 min,Stand-Up Comedy,6.8
80159025,Movie,Hypersomnia,Gabriel Grieco,"Yamila Saud, Gerardo Romano, Jimena Barón, Vanesa González, Candela Vetrano, Florencia Torrente, Nazareno Casero, Sofía Gala, Gustavo Garzón, Belén Chavanne, Fabiana Cantilo, Peter Lanzani",Argentina,2016,TV-MA,84 min,"Horror Movies, International Movies, Thrillers",5.5
81025973,Movie,Belmonte,Federico Veiroj,"Gonzalo Delgado, Olivia Molinaro Eijo, Jeannette Sauksteliskis, Tomás Wahrmann, María Noel Gutiérrez, Marcelo Fernández Borsari, Alejandro Castiglioni, Cecilia Caballero Jeske, Martín Reyes, Carolina Penadés","Uruguay, Spain, Mexico",2018,TV-MA,74 min,"Dramas, Independent Movies, International Movies",6.7
80121387,Movie,Elisa & Marcela,Isabel Coixet,"Natalia de Molina, Greta Fernández, Sara Casasnovas, Tamar Novas, Kelly Lua, Manuel Lourenzo, Jorge Suquet, Ana Santos, Mariana Carballal, Roberto Leal, Luisa Merelas, Amparo Moreno, Lluís Homar, Manolo Solo, María Pujalte, Francesc Orella",Spain,2019,TV-MA,119 min,"Dramas, International Movies, LGBTQ Movies",6.5
80227090,Movie,I Am Mother,Grant Sputore,"Clara Rugaard, Rose Byrne, Hilary Swank, Luke Hawker",Australia,2019,TV-14,114 min,"International Movies, Sci-Fi & Fantasy, Thrillers",6.7
